date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2021-11-06,Scotland,Australia,15,13,2021 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,False,False
2021-11-13,Italy,Argentina,16,37,2021 end of year test,Stadio Comunale di Monigo,Treviso,Italy,False,False
2021-11-13,England,Australia,32,15,2021 Autumn International,Twickenham Stadium,London,England,False,False
2021-11-13,Scotland,South Africa,15,30,2021 Autumn International,Murrayfield,Edinburgh,Scotland,False,False
2021-11-13,Ireland,New Zealand,29,20,2021 Autumn International,Aviva Stadium,Dublin,Ireland,False,False
2021-11-20,Wales,Australia,29,28,2021 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2021-11-20,England,South Africa,27,26,2021 Autumn International,Twickenham,London,England,False,False
2021-11-20,France,New Zealand,40,25,2021 end-of year test,Stade de France,Saint-Denis,France,False,False
2021-11-21,Ireland,Argentina,53,7,2021 Autumn Internationals,Aviva Stadium,Dublin,Ireland,False,False
2022-02-05,Ireland,Wales,29,7,2022 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2022-02-05,Scotland,England,20,17,2022 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2022-02-07,France,Italy,37,10,2022 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2022-02-12,France,Ireland,30,24,2022 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2022-02-12,Wales,Scotland,20,17,2022 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2022-02-13,Italy,England,0,33,2022 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2022-02-26,Scotland,France,17,36,2022 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2022-02-26,England,Wales,23,19,2022 Six Nations Championship,Twickenham,London,England,False,False
2022-02-28,Ireland,Italy,57,6,2022 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2022-03-11,Wales,France,9,13,2022 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2022-03-12,England,Ireland,15,32,2022 Six Nations Championship,Twickenham,London,England,False,False
2022-03-12,Italy,Scotland,22,33,2022 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2022-03-19,Ireland,Scotland,26,5,2022 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2022-03-19,Wales,Italy,21,22,2022 Six Nations,Millennium Stadium,Cardiff,Wales,False,False
2022-03-20,France,England,25,13,2022 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2022-07-02,Argentina,Scotland,26,18,2022 Scotland tour of Argentina,Estadio 23 de Agosto,San Salvador de Jujuy,Argentina,False,False
2022-07-02,New Zealand,Ireland,42,19,2022 Ireland rugby union tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
2022-07-02,South Africa,Wales,32,29,2022 Wales tour of South Africa,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
2022-07-02,Australia,England,30,28,2022 England tour of Australia,Perth Stadium,Perth,Australia,False,False
2022-07-09,South Africa,Wales,12,13,2022 Wales tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False
2022-07-09,Australia,England,17,25,2022 England tour of Australia,Lang Park,Brisbane,Australia,False,False
